구분1,구분2,전반적 만족도,작년대비 전반적 만족도,운영서비스(노선체계),운영서비스(배차시간간격),운영서비스(대중교통중심운영),이용환경 서비스(기사/역무원 친절도),이용환경 서비스(시설이용 편리성),이용환경 서비스(교통약자시설),쾌적환경서비스(혼잡도),쾌적환경서비스(이용시설청결),정보제공서비스(정보제공체계),정보제공서비스(정보정확성),정보제공서비스(변경정보제공),접근서비스(접근거리및시간),접근서비스(목적지이동거리및소요시간),환승서비스(환승체계구축),환승서비스(환승정보제공),환승서비스(환승요금),안전환경서비스(버스_안전운행),안전환경서비스(버스_비상시대처),안전환경서비스(지하철_안전운행),안전환경서비스(지하철_비상시대처)
주 이용 교통수단,버스,4.75,4.54,4.85,4.31,4.51,4.46,4.43,4.38,4.06,4.36,4.79,4.75,4.74,4.85,4.9,4.73,4.61,4.84,4.29,4.17,-,-
주 이용 교통수단,도시철도,4.96,4.53,5.15,4.76,4.9,4.64,4.58,4.62,3.7,4.41,4.94,4.85,4.87,4.86,4.93,4.76,4.7,4.83,-,-,4.74,4.62
1주간 평균 대중교통 이용횟수,4회~5회,4.81,4.53,4.9,4.51,4.62,4.53,4.48,4.47,4.02,4.39,4.83,4.79,4.79,4.85,4.91,4.74,4.61,4.84,4.31,4.2,4.76,4.63
1주간 평균 대중교통 이용횟수,6회~10회,4.85,4.54,4.99,4.51,4.69,4.53,4.49,4.46,3.89,4.37,4.85,4.78,4.8,4.85,4.91,4.73,4.66,4.83,4.3,4.2,4.72,4.6
1주간 평균 대중교통 이용횟수,11회~15회,4.88,4.54,5.03,4.5,4.72,4.55,4.48,4.51,3.75,4.36,4.91,4.84,4.81,4.87,4.93,4.77,4.68,4.87,4.26,4.13,4.77,4.64
1주간 평균 대중교통 이용횟수,16회~20회,4.9,4.55,5.09,4.54,4.76,4.57,4.53,4.53,3.77,4.38,4.91,4.85,4.86,4.84,4.86,4.79,4.66,4.86,4.24,4.09,4.73,4.65
1주간 평균 대중교통 이용횟수,21회 이상,4.82,4.56,5.09,4.46,4.65,4.5,4.59,4.56,3.89,4.41,4.82,4.75,4.75,4.85,4.91,4.67,4.66,4.67,4.23,4.03,4.71,4.62
통행목적,출퇴근,4.86,4.55,5.02,4.54,4.71,4.55,4.51,4.49,3.85,4.35,4.91,4.84,4.81,4.86,4.91,4.75,4.67,4.83,4.24,4.09,4.74,4.63
통행목적,등하교,4.81,4.53,4.95,4.42,4.63,4.5,4.49,4.47,3.84,4.38,4.78,4.71,4.79,4.85,4.92,4.73,4.62,4.81,4.31,4.2,4.71,4.59
통행목적,업무,4.9,4.54,5.03,4.58,4.74,4.56,4.51,4.5,3.91,4.42,4.94,4.87,4.84,4.84,4.91,4.82,4.67,4.89,4.34,4.2,4.81,4.67
통행목적,쇼핑,4.84,4.53,4.97,4.5,4.66,4.54,4.46,4.45,3.91,4.38,4.85,4.81,4.81,4.87,4.9,4.73,4.63,4.84,4.29,4.2,4.77,4.65
통행목적,여가,4.86,4.53,4.98,4.53,4.67,4.54,4.47,4.47,3.93,4.39,4.9,4.82,4.83,4.87,4.9,4.75,4.64,4.86,4.29,4.14,4.77,4.64
통행목적,학원,4.81,4.59,5.06,4.42,4.64,4.5,4.53,4.51,3.78,4.4,4.9,4.78,4.81,4.86,4.9,4.77,4.66,4.85,4.28,4.17,4.7,4.41
통행목적,기타,4.83,4.55,4.9,4.46,4.73,4.63,4.61,4.6,4.37,4.72,4.98,4.9,4.83,4.82,4.92,4.8,4.69,4.99,4.58,4.38,4.79,4.79
